Table Name,Field Name,Data Type,Primary Key,Foreign Key,Nullable,Default Value,Description
customer_interactions,session_id,text,No,,Yes,,Session identifier to group related interactions
customer_interactions,interaction_type,interaction_type,No,,No,,Type of interaction (message/quick_reply/etc)
customer_interactions,message_text,text,No,,Yes,,Text of customer's message if applicable
customer_interactions,bot_response,text,No,,Yes,,Bot's response to the customer
customer_interactions,quick_reply_selected,text,No,,Yes,,Quick reply button selected by customer
customer_interactions,metadata,jsonb,No,,Yes,'{}',Additional data about the interaction
customer_interactions,language_used,language_code,No,,Yes,,Language used during the interaction
customer_interactions,timestamp,timestamptz,No,,Yes,now(),When the interaction occurred
customer_interactions,system_input_process,text,No,,Yes,'bolt',System identifier for tracking data source
customer_interactions,created_at,timestamptz,No,,Yes,now(),Timestamp when record was created

customer_journey_events,id,uuid,Yes,,No,uuid_generate_v4(),Unique identifier for each journey event
customer_journey_events,customer_id,uuid,No,customers(id),Yes,,Reference to the customer
customer_journey_events,from_stage,journey_stage,No,,Yes,,Previous journey stage (can be null for first event)
customer_journey_events,to_stage,journey_stage,No,,No,,New journey stage customer moved to
customer_journey_events,event_trigger,text,No,,Yes,,What caused the stage change
customer_journey_events,event_data,jsonb,No,,Yes,'{}',Additional data about the journey event
customer_journey_events,timestamp,timestamptz,No,,Yes,now(),When the journey stage change occurred
customer_journey_events,system_input_process,text,No,,Yes,'bolt',System identifier for tracking data source
customer_journey_events,created_at,timestamptz,No,,Yes,now(),Timestamp when record was created

customer_package_selections,id,uuid,Yes,,No,uuid_generate_v4(),Unique identifier for each package selection
customer_package_selections,customer_id,uuid,No,customers(id),Yes,,Reference to the customer
customer_package_selections,package_id,uuid,No,packages(id),Yes,,Reference to the selected package
customer_package_selections,package_code,text,No,,No,,Package code for backup reference
customer_package_selections,selection_timestamp,timestamptz,No,,Yes,now(),When the package was selected
customer_package_selections,is_final_selection,boolean,No,,Yes,false,Whether this is the final confirmed selection
customer_package_selections,selection_context,text,No,,Yes,,Context of selection (initial/upgrade/downgrade/change)
customer_package_selections,system_input_process,text,No,,Yes,'bolt',System identifier for tracking data source
customer_package_selections,created_at,timestamptz,No,,Yes,now(),Timestamp when record was created
